d,z,a,poisson,sigma,E
2,985.99,156.66,0.5,0.72,13.2747
2,985.99,156.66,0.5,0.8,14.7496
2,985.99,169.99,0.35,0.56,12.5666
2,985.99,169.99,0.35,0.64,14.3618
2,985.99,169.99,0.35,0.72,16.1571
2,985.99,169.99,0.35,0.8,17.9523
2,985.99,169.99,0.4,0.56,12.4618
2,985.99,169.99,0.4,0.64,14.2421
2,985.99,169.99,0.4,0.72,16.0223
2,985.99,169.99,0.4,0.8,17.8026
2,985.99,169.99,0.45,0.56,12.3163
2,985.99,169.99,0.45,0.64,14.0758
2,985.99,169.99,0.45,0.72,15.8353
2,985.99,169.99,0.45,0.8,17.5947
2,985.99,169.99,0.5,0.56,12.1301
2,985.99,169.99,0.5,0.64,13.8629
2,985.99,169.99,0.5,0.72,15.5958
2,985.99,169.99,0.5,0.8,17.3287
3.5,850,130,0.35,0.56,4.8857
3.5,850,130,0.35,0.64,5.5836
3.5,850,130,0.35,0.72,6.2816
3.5,850,130,0.35,0.8,6.9796
3.5,850,130,0.4,0.56,4.8452
3.5,850,130,0.4,0.64,5.5374
3.5,850,130,0.4,0.72,6.2296
3.5,850,130,0.4,0.8,6.9218
3.5,850,130,0.45,0.56,4.789
3.5,850,130,0.45,0.64,5.4731
3.5,850,130,0.45,0.72,6.1573
3.5,850,130,0.45,0.8,6.8414
3.5,850,130,0.5,0.56,4.7169
3.5,850,130,0.5,0.64,5.3908
3.5,850,130,0.5,0.72,6.0646
3.5,850,130,0.5,0.8,6.7385
3.5,850,143.33,0.35,0.56,5.9254
3.5,850,143.33,0.35,0.64,6.7719
3.5,850,143.33,0.35,0.72,7.6183
3.5,850,143.33,0.35,0.8,8.4648
3.5,850,143.33,0.4,0.56,5.876
3.5,850,143.33,0.4,0.64,6.7155
3.5,850,143.33,0.4,0.72,7.5549
3.5,850,143.33,0.4,0.8,8.3943
3.5,850,143.33,0.45,0.56,5.8075
3.5,850,143.33,0.45,0.64,6.6371
3.5,850,143.33,0.45,0.72,7.4668
3.5,850,143.33,0.45,0.8,8.2964
3.5,850,143.33,0.5,0.56,5.7198
3.5,850,143.33,0.5,0.64,6.5369
3.5,850,143.33,0.5,0.72,7.354
3.5,850,143.33,0.5,0.8,8.1711
3.5,850,156.66,0.35,0.56,7.061
3.5,850,156.66,0.35,0.64,8.0697
3.5,850,156.66,0.35,0.72,9.0785
3.5,850,156.66,0.35,0.8,10.0872
3.5,850,156.66,0.4,0.56,7.0019
3.5,850,156.66,0.4,0.64,8.0021
3.5,850,156.66,0.4,0.72,9.0024
3.5,850,156.66,0.4,0.8,10.0027
3.5,850,156.66,0.45,0.56,6.9198
3.5,850,156.66,0.45,0.64,7.9083
3.5,850,156.66,0.45,0.72,8.8969
3.5,850,156.66,0.45,0.8,9.8854
3.5,850,156.66,0.5,0.56,6.8148
3.5,850,156.66,0.5,0.64,7.7884
3.5,850,156.66,0.5,0.72,8.7619
3.5,850,156.66,0.5,0.8,9.7355
3.5,850,169.99,0.35,0.56,8.2912
3.5,850,169.99,0.35,0.64,9.4757
3.5,850,169.99,0.35,0.72,10.6601
3.5,850,169.99,0.35,0.8,11.8446
3.5,850,169.99,0.4,0.56,8.2213
3.5,850,169.99,0.4,0.64,9.3958
3.5,850,169.99,0.4,0.72,10.5702
3.5,850,169.99,0.4,0.8,11.7447
3.5,850,169.99,0.45,0.56,8.1244
3.5,850,169.99,0.45,0.64,9.285
3.5,850,169.99,0.45,0.72,10.4457
3.5,850,169.99,0.45,0.8,11.6063
3.5,850,169.99,0.5,0.56,8.0006
3.5,850,169.99,0.5,0.64,9.1436
3.5,850,169.99,0.5,0.72,10.2865
3.5,850,169.99,0.5,0.8,11.4295
3.5,895.33,130,0.35,0.56,4.6432
3.5,895.33,130,0.35,0.64,5.3065
3.5,895.33,130,0.35,0.72,5.9699
3.5,895.33,130,0.35,0.8,6.6332
3.5,895.33,130,0.4,0.56,4.6049
3.5,895.33,130,0.4,0.64,5.2627
3.5,895.33,130,0.4,0.72,5.9206
3.5,895.33,130,0.4,0.8,6.5784
3.5,895.33,130,0.45,0.56,4.5515
3.5,895.33,130,0.45,0.64,5.2018
3.5,895.33,130,0.45,0.72,5.852
3.5,895.33,130,0.45,0.8,6.5022
3.5,895.33,130,0.5,0.56,4.4832
3.5,895.33,130,0.5,0.64,5.1236
3.5,895.33,130,0.5,0.72,5.7641
3.5,895.33,130,0.5,0.8,6.4045
3.5,895.33,143.33,0.35,0.56,5.6326
